Potri.010G082300	TCONS_00185501
Potri.015G070600	TCONS_00249116
Potri.011G042800	TCONS_00198905
Potri.010G068400	TCONS_00174334
Potri.007G003200	TCONS_00129772
Potri.003G190900	TCONS_00063970
Potri.005G218600	TCONS_00097518
Potri.019G081500	TCONS_00285883
Potri.009G007600	TCONS_00159393
Potri.006G157600	TCONS_00125024
Potri.012G042700	TCONS_00210496
Potri.003G119800	TCONS_00061211
Potri.004G116800	TCONS_00077102
Potri.014G040600	TCONS_00227180
Potri.008G083800	TCONS_00144007
Potri.005G173200	TCONS_00095617
Potri.001G211600	TCONS_00025560
Potri.001G134100	TCONS_00022539
Potri.008G115600	TCONS_00154932
Potri.005G080100	TCONS_00101846
Potri.019G039700	TCONS_00284118
Potri.001G392600	TCONS_00031809
Potri.006G222900	TCONS_00127284
Potri.017G069500	TCONS_00268747
Potri.008G004100	TCONS_00150215
Potri.009G158400	TCONS_00165031
Potri.008G117600	TCONS_00155017
Potri.002G122300	TCONS_00039893
Potri.006G224500	TCONS_00116802
Potri.005G127900	TCONS_00094054
Potri.003G202100	TCONS_00072665
Potri.007G036600	TCONS_00131024
Potri.009G122500	TCONS_00163811
Potri.015G092900	TCONS_00249910
Potri.001G455300	TCONS_00016637
Potri.014G119800	TCONS_00237902
Potri.015G138900	TCONS_00251359
Potri.019G061700	TCONS_00285361
Potri.010G046500	TCONS_00173421
Potri.001G316700	TCONS_00011849
Potri.008G210000	TCONS_00149621
Potri.008G042400	TCONS_00142489
Potri.008G068000	TCONS_00143446
Potri.001G229100	TCONS_00008570
Potri.010G226000	TCONS_00191349
Potri.001G382700	TCONS_00031566
Potri.006G125400	TCONS_00113191
Potri.012G015900	TCONS_00209565
Potri.001G185300	TCONS_00006935
Potri.002G064900	TCONS_00037483
Potri.007G057000	TCONS_00131805
Potri.007G008000	TCONS_00135252
Potri.019G054400	TCONS_00285083
Potri.004G011600	TCONS_00073795
Potri.005G001600	TCONS_00099068
Potri.016G134700	TCONS_00256274
Potri.004G041000	TCONS_00074582
Potri.002G186100	TCONS_00042275
Potri.003G043700	TCONS_00066560
Potri.019G102700	TCONS_00290491
Potri.001G251000	TCONS_00009367
Potri.005G214600	TCONS_00106664
Potri.010G044600	TCONS_00183899
Potri.010G093700	TCONS_00186048
Potri.001G148700	TCONS_00005493
Potri.015G096300	TCONS_00244944
Potri.014G127700	TCONS_00238140
Potri.015G048000	TCONS_00242827
Potri.014G018100	TCONS_00234175
Potri.009G157000	TCONS_00165009
Potri.011G004700	TCONS_00192781
Potri.014G160000	TCONS_00232090
Potri.003G030000	TCONS_00057350
Potri.014G125700	TCONS_00230502
Potri.006G165700	TCONS_00125244
Potri.004G013200	TCONS_00081392
Potri.006G080700	TCONS_00111658
Potri.011G131900	TCONS_00196413
Potri.016G040200	TCONS_00258162
Potri.002G144600	TCONS_00051610
Potri.007G012500	TCONS_00130227
Potri.001G350000	TCONS_00030429
Potri.019G001100	TCONS_00287221
Potri.002G092600	TCONS_00038685
Potri.001G052100	TCONS_00019319
Potri.007G001400	TCONS_00135025
Potri.011G053000	TCONS_00199284
Potri.002G239500	TCONS_00055089
Potri.009G097000	TCONS_00169135
Potri.004G086100	TCONS_00076025
Potri.009G039100	TCONS_00160875
Potri.006G225100	TCONS_00127390
Potri.001G043100	TCONS_00001557
Potri.001G031700	TCONS_00001137
Potri.004G106200	TCONS_00084732
Potri.017G154900	TCONS_00271412
Potri.007G103200	TCONS_00133564
Potri.001G167200	TCONS_00006368
Potri.009G043300	TCONS_00161026
Potri.012G017500	TCONS_00209670
Potri.019G092100	TCONS_00290244
Potri.002G202000	TCONS_00043071
Potri.014G171900	TCONS_00232494
Potri.008G128000	TCONS_00145827
Potri.012G110700	TCONS_00207774
Potri.002G045200	TCONS_00036627
Potri.011G044400	TCONS_00193711
Potri.003G045700	TCONS_00057981
Potri.009G165200	TCONS_00171654
Potri.002G120300	TCONS_00050694
