Potri.005G173200	TCONS_00095623
Potri.003G173100	TCONS_00071661
Potri.004G116800	TCONS_00077099
Potri.014G040600	TCONS_00227180
Potri.011G042800	TCONS_00198904
Potri.001G211600	TCONS_00025558
Potri.005G080100	TCONS_00101846
Potri.019G039700	TCONS_00284110
Potri.006G222900	TCONS_00127279
Potri.017G069500	TCONS_00268743
Potri.008G004100	TCONS_00150215
Potri.009G158400	TCONS_00165031
Potri.017G070500	TCONS_00268776
Potri.006G158600	TCONS_00114518
Potri.006G224500	TCONS_00116805
Potri.005G127900	TCONS_00094053
Potri.003G202100	TCONS_00072664
Potri.012G038400	TCONS_00210378
Potri.001G316700	TCONS_00011842
Potri.008G210000	TCONS_00149588
Potri.008G042400	TCONS_00142490
Potri.012G015900	TCONS_00209562
Potri.019G054400	TCONS_00285087
Potri.002G186100	TCONS_00042274
Potri.013G049800	TCONS_00222055
Potri.001G251000	TCONS_00009367
Potri.004G011700	TCONS_00073802
Potri.002G072000	TCONS_00037774
Potri.019G096900	TCONS_00290356
Potri.009G157000	TCONS_00165008
Potri.003G030000	TCONS_00057335
Potri.014G125700	TCONS_00230503
Potri.011G131900	TCONS_00196410
Potri.002G144600	TCONS_00051608
Potri.018G024100	TCONS_00278345
Potri.001G350000	TCONS_00030429
Potri.001G083700	TCONS_00002839
Potri.001G043100	TCONS_00001556
Potri.007G103200	TCONS_00133564
Potri.019G092100	TCONS_00290242
Potri.002G202000	TCONS_00043073
Potri.013G127300	TCONS_00219139
Potri.006G057600	TCONS_00110617
Potri.008G145400	TCONS_00156106
Potri.018G100300	TCONS_00275485
Potri.006G187500	TCONS_00115437
Potri.007G033800	TCONS_00136340
Potri.012G092000	TCONS_00207042
Potri.002G111400	TCONS_00050298
Potri.003G076300	TCONS_00067840
Potri.010G166100	TCONS_00188913
Potri.002G127300	TCONS_00050904
Potri.004G217600	TCONS_00088471
Potri.010G056600	TCONS_00173746
Potri.013G000200	TCONS_00214108
Potri.017G112200	TCONS_00265461
Potri.015G147400	TCONS_00251625
Potri.010G157300	TCONS_00188491
Potri.014G086000	TCONS_00236635
Potri.014G026800	TCONS_00226698
Potri.007G121900	TCONS_00134179
Potri.001G466400	TCONS_00034467
Potri.006G024300	TCONS_00109352
Potri.008G066300	TCONS_00152829
Potri.002G065000	TCONS_00037490
Potri.010G059600	TCONS_00184449
Potri.007G019700	TCONS_00130580
Potri.018G083200	TCONS_00274827
Potri.007G115000	TCONS_00133946
Potri.001G271900	TCONS_00027738
Potri.001G001300	TCONS_00017471
Potri.005G017300	TCONS_00099482
Potri.002G035800	TCONS_00047049
Potri.012G061400	TCONS_00205658
Potri.007G039400	TCONS_00131093
Potri.004G098100	TCONS_00076487
Potri.001G162400	TCONS_00006151
Potri.004G067800	TCONS_00083242
Potri.002G097400	TCONS_00038878
Potri.012G063800	TCONS_00205839
Potri.007G053000	TCONS_00137132
Potri.001G117600	TCONS_00021920
Potri.013G155100	TCONS_00219876
Potri.001G357000	TCONS_00030698
Potri.011G024000	TCONS_00193240
Potri.009G070200	TCONS_00162030
Potri.012G056800	TCONS_00205416
Potri.017G056200	TCONS_00268232
Potri.019G051300	TCONS_00284903
Potri.010G130300	TCONS_00187500
Potri.006G127800	TCONS_00123808
Potri.005G162100	TCONS_00104808
Potri.004G097300	TCONS_00076473
Potri.006G221100	TCONS_00127217
Potri.001G252000	TCONS_00009435
Potri.008G138100	TCONS_00146221
Potri.013G023000	TCONS_00215093
Potri.005G198300	TCONS_00106030
Potri.003G084100	TCONS_00068227
Potri.002G185100	TCONS_00053132
Potri.007G093400	TCONS_00133255
