Potri.010G030200	TCONS_00183198
Potri.009G074400	TCONS_00168186
Potri.009G074400	TCONS_00168187
Potri.017G028500	TCONS_00267447
Potri.008G220700	TCONS_00149913
Potri.013G134700	TCONS_00219366
Potri.012G062100	TCONS_00211174
Potri.018G056100	TCONS_00279435
Potri.018G056000	TCONS_00279432
Potri.016G015400	TCONS_00257384
Potri.015G096900	TCONS_00250054
Potri.015G096900	TCONS_00250055
Potri.015G097200	TCONS_00250059
Potri.016G043700	TCONS_00258262
Potri.013G067400	TCONS_00216747
Potri.013G067400	TCONS_00216744
Potri.013G067400	TCONS_00216745
Potri.008G204100	TCONS_00149402
Potri.008G204100	TCONS_00149403
Potri.015G106400	TCONS_00245361
Potri.006G267500	TCONS_00118591
Potri.013G011600	TCONS_00214674
XLOC_084317	TCONS_00296585
Potri.013G011600	TCONS_00214676
Potri.013G011600	TCONS_00214677
Potri.006G267600	TCONS_00118598
Potri.013G011600	TCONS_00214671
Potri.013G011600	TCONS_00214673
Potri.002G153400	TCONS_00041047
Potri.002G226000	TCONS_00044031
Potri.002G226000	TCONS_00044030
Potri.002G153400	TCONS_00041041
Potri.017G028500	TCONS_00267446
Potri.015G014900	TCONS_00241625
Potri.016G041000	TCONS_00258198
Potri.001G220300	TCONS_00008306
Potri.016G041000	TCONS_00258197
Potri.016G040900	TCONS_00258196
Potri.002G031000	TCONS_00046894
Potri.005G065200	TCONS_00091949
Potri.007G045200	TCONS_00131257
Potri.007G044800	TCONS_00131252
Potri.007G044700	TCONS_00131250
Potri.017G102100	TCONS_00265059
Potri.009G134100	TCONS_00170582
Potri.010G176000	TCONS_00178358
Potri.009G101200	TCONS_00169274
Potri.009G101200	TCONS_00169277
Potri.009G101200	TCONS_00169279
Potri.006G061700	TCONS_00121220
Potri.003G033700	TCONS_00057537
Potri.006G061700	TCONS_00121226
Potri.010G146400	TCONS_00177128
Potri.012G094800	TCONS_00212481
Potri.001G416100	TCONS_00032707
Potri.001G415900	TCONS_00032705
Potri.001G415900	TCONS_00032703
Potri.T155200	TCONS_00301031
Potri.016G100400	TCONS_00255165
Potri.006G051000	TCONS_00110349
Potri.010G003100	TCONS_00171982
Potri.006G050700	TCONS_00110340
Potri.006G051000	TCONS_00110343
Potri.015G090500	TCONS_00249847
Potri.009G135300	TCONS_00170633
Potri.013G004700	TCONS_00220268
Potri.010G157300	TCONS_00188495
Potri.009G135600	TCONS_00170639
Potri.009G135600	TCONS_00170638
Potri.005G258500	TCONS_00108518
Potri.001G309800	TCONS_00011618
Potri.005G258000	TCONS_00108511
Potri.012G100700	TCONS_00212732
Potri.005G258000	TCONS_00108512
Potri.012G101000	TCONS_00212737
Potri.012G100700	TCONS_00212735
Potri.001G309300	TCONS_00011614
Potri.010G051500	TCONS_00173583
Potri.010G051500	TCONS_00173584
Potri.010G155400	TCONS_00188427
Potri.010G051600	TCONS_00173587
Potri.010G051600	TCONS_00173589
Potri.016G127200	TCONS_00256042
Potri.016G127200	TCONS_00256046
Potri.016G043700	TCONS_00258266
Potri.008G126900	TCONS_00145797
Potri.001G101700	TCONS_00003463
Potri.001G101700	TCONS_00003462
Potri.016G090000	TCONS_00254758
Potri.011G146300	TCONS_00196937
Potri.002G036200	TCONS_00047075
Potri.009G115100	TCONS_00163537
Potri.006G008000	TCONS_00119344
Potri.004G189700	TCONS_00087494
Potri.004G189700	TCONS_00087492
Potri.004G189700	TCONS_00087493
Potri.016G092100	TCONS_00254817
Potri.010G038500	TCONS_00172980
Potri.001G107200	TCONS_00003793
Potri.001G107200	TCONS_00003794
Potri.001G116600	TCONS_00004165
Potri.001G254000	TCONS_00009495
Potri.001G254000	TCONS_00009497
Potri.006G081400	TCONS_00121910
Potri.001G141500	TCONS_00022830
Potri.006G081400	TCONS_00121912
Potri.001G141500	TCONS_00022834
Potri.002G100300	TCONS_00038981
Potri.001G333500	TCONS_00029773
Potri.014G077100	TCONS_00236312
Potri.003G053200	TCONS_00066916
Potri.016G129900	TCONS_00261150
Potri.003G053000	TCONS_00066914
Potri.015G106700	TCONS_00245367
Potri.003G053000	TCONS_00066913
Potri.001G097100	TCONS_00003237
Potri.014G088200	TCONS_00229102
Potri.014G088200	TCONS_00229100
Potri.014G088200	TCONS_00229101
Potri.T085200	TCONS_00303185
Potri.003G019700	TCONS_00056722
Potri.005G106500	TCONS_00093513
Potri.003G019600	TCONS_00056720
Potri.005G106500	TCONS_00093514
Potri.002G196200	TCONS_00053537
